,pca_0,pca_1,difficulty
0,17.903612150903864,-7.596514916943305,easy
1,9.49054216322504,-8.949229823472907,easy
2,9.100798301024568,-6.5678938188246425,easy
3,18.4183335125703,-8.019525123786407,easy
4,31.398688569258702,-6.90922415851034,easy
5,14.38593170432958,2.021468246495903,easy
6,17.201029963404597,-3.2991905731863342,easy
7,8.393114171087511,-8.062740853147174,easy
8,4.399089232085127,-5.450142999677482,easy
9,16.267931665739106,-2.7180528237096886,easy
10,28.02954425447112,-6.5374823052658035,easy
11,26.78393980702026,-5.822741346659706,easy
12,22.462999381700136,-4.133819842677215,easy
13,30.260852110732284,2.9741194259617214,easy
14,25.726204882720697,-1.2467925203900756,easy
15,45.776499007465986,15.804972014373973,easy
16,59.15245512179074,19.22644854969536,easy
17,3.087185214743218,-7.9573403435145496,easy
18,4.424552275533474,-11.371746337070675,easy
19,13.057039544414284,-4.251282940731239,easy
20,20.990160999264976,-3.2229880558347657,easy
21,2.019190737186051,-3.6437960124793993,easy
22,0.7713747470446245,-8.115585274052515,easy
23,-19.482703108869853,-10.714075766566868,easy
24,-7.130823687025598,-19.465408179722875,easy
25,39.82985383065379,4.05235899655598,easy
26,40.17451081087519,9.214068253460544,easy
27,29.201350658156617,-0.3181745076030162,easy
28,27.82827697338122,-4.131268730383541,easy
29,16.50445353880555,0.48406745379353877,easy
30,4.425315350807566,5.044270500391605,easy
31,1.2041735153414372,-0.5633752961307408,easy
32,21.449869686205215,7.388524857872978,easy
33,5.914296921612794,2.2788521491746256,easy
34,-4.231030104059662,-4.718912320628957,easy
35,2.921368791766735,-0.0054357866109252355,easy
36,1.8735666904314938,-0.835596451480359,easy
37,0.6140391274162731,-6.100391547741502,easy
38,-8.342156262977038,-8.020165257511183,hard
39,-0.5265280834786323,-12.93753783925586,hard
40,-9.395365187594923,-7.897340297075158,hard
41,-2.321541635337593,-11.312540030122022,hard
42,-3.242774236544766,-13.230371898872752,hard
43,2.1280529286889234,-11.478909871846467,hard
44,-5.594323003745061,-5.506737900138225,hard
45,-11.964956277460347,-0.08620882608899419,hard
46,-3.608447636258235,-0.10089205686748051,hard
47,2.895200138062021,-0.417023292801863,hard
48,1.8248981984354113,-0.17050360432558287,hard
49,-0.08474381342896577,-4.020451654859689,hard
50,3.146041882886738,-2.366453686137127,hard
51,-13.45000336451002,-2.584151186884017,hard
52,-1.3234496886008549,1.3265714741061327,hard
53,-7.246283104566783,-3.5579927779618674,hard
54,-8.860193090526042,-4.582241121619302,hard
55,-15.409819528972253,2.7670144990607812,hard
56,-5.2039514794130755,0.31185946433790157,hard
57,0.34867109685247905,0.25848231150688583,hard
58,-5.1175059488166355,4.517358388112053,hard
59,-12.617930427826314,11.216593914004594,hard
60,6.526879340616128,18.738528242085756,hard
61,10.494829234609561,13.484390278414942,hard
62,-4.969633741816306,3.01288111523905,hard
63,-4.36215109540156,3.0752795394992636,hard
64,13.295644272540613,3.1537265115818567,hard
65,-6.418223389907205,-0.5298900181069661,hard
66,7.4393968719026216,-0.7926216025784648,hard
67,4.15325830888913,1.1777610952613655,hard
68,-19.602423919122966,0.4237995989914042,hard
69,-3.0657858692116875,6.047138965467223,hard
70,-1.4827981138739592,6.194957509355634,hard
71,-2.334066991518204,4.397151746889041,hard
72,-8.798939165958869,-10.217972061994605,hard
73,-2.773266945030345,-6.194113447818531,hard
74,2.37637446100917,-2.5639703544489767,hard
75,-11.152861096629522,-4.198958728512212,hard
76,0.23790151753992964,-6.608313102894046,hard
77,9.751903763200463,-9.712560128330395,hard
78,3.0089158965817346,-9.952459668218888,hard
79,-1.7453655493602611,-1.3094290343524722,hard
80,-7.093586273874087,-4.051850503297412,hard
81,7.6265284589552245,0.2701502249825217,hard
82,-4.719713518546451,-1.339516383045645,hard
83,10.138796067211196,2.64675317864474,hard
84,1.993205272500316,1.3737753846883074,hard
85,0.7448904379216612,1.891426742866594,hard
86,-24.841649081912948,-5.111284492141627,hard
87,-18.66861003009869,-3.654831165315349,hard
88,-15.365951057467568,-1.8163854365312397,hard
89,-1.524784284932231,5.120376965765142,hard
90,-1.4104927627201977,0.769011271981415,hard
91,-18.409642899924545,6.492654812940423,hard
92,-7.293052219227757,3.5271789830667504,hard
93,-17.960197586593395,2.7805293705226246,hard
94,-19.43614968018248,-3.9278102431039383,hard
95,-23.01458219040699,-0.9619073531393628,hard
96,4.742007745538217,0.31254365738126544,hard
97,-10.466242936419617,7.969728220894787,hard
98,-24.538856759474623,5.495526463947014,hard
99,-24.82015345414674,7.405928308914397,hard
100,-13.561365783307531,-0.12194443286321147,hard
101,-6.844550689723465,-1.5838817835316716,hard
102,-9.070135948322324,-0.7684013980913039,hard
103,-12.47537619922387,-0.7951610371253118,hard
104,-6.415461995575123,-2.07473167180305,hard
105,-9.139900590053145,6.012420619883572,hard
106,-9.518996023081302,3.8281819641568697,hard
107,-17.608199421163487,8.340427992189454,hard
108,-8.782292610170561,5.672512379221519,hard
109,-11.90241178606272,4.378338249154136,hard
110,-13.054985577213847,6.194286139521522,hard
111,-13.479121319101045,3.033811614105187,hard
112,-9.242451751055274,10.872223478074059,hard
113,-23.841469538316396,6.2504497824640115,hard
114,-13.752214946436597,7.2615437744490405,hard
115,-23.329551318011443,7.423495373892331,hard
116,-16.991235312164108,15.06847442366309,hard
117,-11.448248444281923,14.502359869902245,hard
118,-7.795001366624427,7.610500713493249,hard
119,-12.62890326089385,5.632239492408117,hard
120,0.6259255911558974,10.953100827384038,hard
121,-9.214732482622644,8.871877306251928,hard
122,-23.421150251090705,0.731771317914833,hard
